,年月日,時間 (ULAT),温度,露点温度,湿度,気圧,視程,Wind Dir,風速,突風の速度,Precip,イベント,現在の気象状況
119,2016年5月15日,9:00 PM,20 °C,-4 °C,11%,1001 hPa,20 km,West,28.8 km/h /,-,-,,Scattered Clouds
120,2016年5月16日,12:00 AM,16 °C,-3 °C,16%,1003 hPa,20 km,West,25.2 km/h /,-,-,,Mostly Cloudy
121,2016年5月16日,3:00 AM,13 °C,-2 °C,23%,1004 hPa,20 km,West,18.0 km/h /,-,-,,Partly Cloudy
122,2016年5月16日,6:00 AM,12 °C,-1 °C,29%,1004 hPa,20 km,WNW,21.6 km/h /,-,-,,Mostly Cloudy
123,2016年5月16日,9:00 AM,12 °C,-0 °C,29%,1002 hPa,20 km,West,28.8 km/h /,-,-,,Partly Cloudy
124,2016年5月16日,12:00 PM,16 °C,2 °C,29%,1000 hPa,20 km,West,46.8 km/h /,-,-,,Partly Cloudy
125,2016年5月16日,3:00 PM,17 °C,-0 °C,20%,999 hPa,20 km,WNW,46.8 km/h /,-,-,,Light Sandstorm
126,2016年5月16日,6:00 PM,18 °C,1 °C,21%,998 hPa,20 km,NW,32.4 km/h /,-,-,,Partly Cloudy
127,2016年5月16日,9:00 PM,16 °C,1 °C,25%,999 hPa,20 km,WNW,25.2 km/h /,-,-,,Partly Cloudy
128,2016年5月17日,12:00 AM,13 °C,0 °C,30%,1001 hPa,20 km,SSW,3.6 km/h /,-,-,,Mostly Cloudy
129,2016年5月17日,3:00 AM,13 °C,1 °C,31%,1000 hPa,20 km,WNW,21.6 km/h /,-,-,,Scattered Clouds
130,2016年5月17日,6:00 AM,11 °C,2 °C,40%,1001 hPa,20 km,West,21.6 km/h /,-,-,,Scattered Clouds
131,2016年5月17日,9:00 AM,12 °C,2 °C,39%,1000 hPa,20 km,West,18.0 km/h /,-,-,,Partly Cloudy
132,2016年5月17日,12:00 PM,15 °C,3 °C,30%,997 hPa,20 km,West,25.2 km/h /,-,-,,Mostly Cloudy
133,2016年5月17日,3:00 PM,14 °C,4 °C,41%,998 hPa,10 km,West,21.6 km/h /,-,-,,Mostly Cloudy
134,2016年5月17日,6:00 PM,16 °C,2 °C,26%,996 hPa,20 km,SW,28.8 km/h /,-,-,,Partly Cloudy
135,2016年5月17日,9:00 PM,17 °C,0 °C,21%,995 hPa,20 km,WNW,28.8 km/h /,-,-,,Partly Cloudy
136,2016年5月18日,12:00 AM,12 °C,-0 °C,31%,1001 hPa,20 km,WNW,18.0 km/h /,-,-,,Scattered Clouds
137,2016年5月18日,3:00 AM,8 °C,-1 °C,40%,1005 hPa,20 km,West,21.6 km/h /,-,-,,Mostly Cloudy
138,2016年5月18日,6:00 AM,4 °C,-5 °C,40%,1010 hPa,20 km,SW,14.4 km/h /,-,-,,Scattered Clouds
139,2016年5月18日,9:00 AM,4 °C,-3 °C,47%,1011 hPa,20 km,Calm,Calm,-,-,,Mostly Cloudy
140,2016年5月18日,12:00 PM,6 °C,-3 °C,44%,1012 hPa,20 km,East,28.8 km/h /,-,-,,Mostly Cloudy
141,2016年5月18日,3:00 PM,5 °C,-3 °C,46%,1013 hPa,10 km,ESE,18.0 km/h /,-,-,,Mostly Cloudy
142,2016年5月18日,6:00 PM,7 °C,-2 °C,38%,1011 hPa,20 km,East,21.6 km/h /,-,-,,Mostly Cloudy
143,2016年5月18日,9:00 PM,7 °C,-4 °C,33%,1014 hPa,20 km,ENE,25.2 km/h /,-,-,,Mostly Cloudy
144,2016年5月19日,12:00 AM,3 °C,-8 °C,32%,1021 hPa,20 km,SSE,10.8 km/h /,-,-,,Mostly Cloudy
145,2016年5月19日,3:00 AM,0 °C,-9 °C,35%,1024 hPa,20 km,South,14.4 km/h /,-,-,,Scattered Clouds
146,2016年5月19日,6:00 AM,0 °C,-10 °C,33%,1023 hPa,20 km,WSW,21.6 km/h /,-,-,,Scattered Clouds
147,2016年5月19日,9:00 AM,1 °C,-9 °C,33%,1023 hPa,20 km,West,10.8 km/h /,-,-,,Mostly Cloudy
148,2016年5月19日,12:00 PM,6 °C,-5 °C,31%,1018 hPa,10 km,West,28.8 km/h /,-,-,,Partly Cloudy
149,2016年5月19日,3:00 PM,4 °C,-5 °C,38%,1022 hPa,10 km,NNE,36.0 km/h /,-,-,,Mostly Cloudy
150,2016年5月19日,6:00 PM,-1 °C,-5 °C,63%,1030 hPa,2 km,NNE,25.2 km/h /,-,-,Snow,Low Drifting Snow
151,2016年5月19日,9:00 PM,1 °C,-9 °C,35%,1031 hPa,10 km,North,36.0 km/h /,-,-,,Overcast
152,2016年5月20日,12:00 AM,-2 °C,-8 °C,53%,1036 hPa,20 km,NNW,3.6 km/h /,-,-,,Mostly Cloudy
153,2016年5月20日,3:00 AM,-3 °C,-12 °C,37%,1038 hPa,20 km,NNW,7.2 km/h /,-,-,,Partly Cloudy
154,2016年5月20日,6:00 AM,-6 °C,-9 °C,71%,1040 hPa,20 km,SSW,10.8 km/h /,-,-,,Scattered Clouds
155,2016年5月20日,9:00 AM,-6 °C,-8 °C,73%,1042 hPa,20 km,Calm,Calm,-,-,,Partly Cloudy
156,2016年5月20日,12:00 PM,1 °C,-9 °C,35%,1037 hPa,20 km,WNW,14.4 km/h /,-,-,,Mostly Cloudy
157,2016年5月20日,3:00 PM,3 °C,-10 °C,26%,1035 hPa,10 km,SW,7.2 km/h /,-,-,,Mostly Cloudy
158,2016年5月20日,6:00 PM,2 °C,-7 °C,39%,1035 hPa,10 km,SSE,14.4 km/h /,-,-,,Mostly Cloudy
159,2016年5月20日,9:00 PM,1 °C,-8 °C,35%,1036 hPa,20 km,ENE,28.8 km/h /,-,-,,Mostly Cloudy
160,2016年5月21日,12:00 AM,0 °C,-9 °C,38%,1038 hPa,20 km,North,3.6 km/h /,-,-,,Scattered Clouds
161,2016年5月21日,3:00 AM,-1 °C,-7 °C,48%,1039 hPa,20 km,West,10.8 km/h /,-,-,,Mostly Cloudy
162,2016年5月21日,6:00 AM,-1 °C,-7 °C,48%,1039 hPa,20 km,West,10.8 km/h /,-,-,,Mostly Cloudy
163,2016年5月21日,9:00 AM,-1 °C,-7 °C,50%,1039 hPa,20 km,WSW,7.2 km/h /,-,-,,Partly Cloudy
164,2016年5月21日,12:00 PM,3 °C,-8 °C,31%,1036 hPa,20 km,SE,7.2 km/h /,-,-,,Mostly Cloudy
165,2016年5月21日,3:00 PM,5 °C,-6 °C,35%,1034 hPa,10 km,SE,7.2 km/h /,-,-,,Mostly Cloudy
166,2016年5月21日,6:00 PM,2 °C,-4 °C,56%,1036 hPa,10 km,North,18.0 km/h /,-,-,Hail,Heavy Small Hail
167,2016年5月21日,9:00 PM,2 °C,-4 °C,54%,1036 hPa,10 km,North,18.0 km/h /,-,-,,Scattered Clouds
168,2016年5月22日,12:00 AM,-0 °C,-3 °C,77%,1038 hPa,20 km,NW,7.2 km/h /,-,-,,Mostly Cloudy
169,2016年5月22日,3:00 AM,-1 °C,-4 °C,72%,1037 hPa,20 km,Calm,Calm,-,-,,Mostly Cloudy
170,2016年5月22日,6:00 AM,-1 °C,-4 °C,76%,1036 hPa,20 km,West,10.8 km/h /,-,-,,Mostly Cloudy
171,2016年5月22日,9:00 AM,-2 °C,-9 °C,47%,1033 hPa,20 km,West,7.2 km/h /,-,-,,Clear
172,2016年5月22日,12:00 PM,2 °C,-4 °C,58%,1033 hPa,4 km,WNW,10.8 km/h /,-,-,Snow,Light Snow
173,2016年5月22日,3:00 PM,4 °C,-7 °C,30%,1030 hPa,10 km,SSW,18.0 km/h /,-,-,,Mostly Cloudy
174,2016年5月22日,6:00 PM,6 °C,-6 °C,28%,1028 hPa,20 km,North,28.8 km/h /,-,-,,Mostly Cloudy
175,2016年5月22日,9:00 PM,5 °C,-8 °C,27%,1029 hPa,20 km,SW,7.2 km/h /,-,-,,Mostly Cloudy
176,2016年5月23日,12:00 AM,1 °C,-5 °C,52%,1032 hPa,20 km,WSW,7.2 km/h /,-,-,,Scattered Clouds
177,2016年5月23日,3:00 AM,-1 °C,-7 °C,51%,1033 hPa,20 km,West,7.2 km/h /,-,-,,
178,2016年5月23日,6:00 AM,-3 °C,-10 °C,42%,1033 hPa,20 km,West,10.8 km/h /,-,-,,Scattered Clouds
179,2016年5月23日,9:00 AM,-2 °C,-9 °C,47%,1033 hPa,20 km,West,7.2 km/h /,-,-,,Clear
180,2016年5月23日,12:00 PM,6 °C,-9 °C,19%,1026 hPa,20 km,NW,7.2 km/h /,-,-,,Scattered Clouds
181,2016年5月23日,3:00 PM,10 °C,-10 °C,12%,1021 hPa,20 km,ENE,7.2 km/h /,-,-,,Partly Cloudy
182,2016年5月23日,6:00 PM,11 °C,-5 °C,20%,1020 hPa,20 km,ENE,21.6 km/h /,-,-,,Mostly Cloudy
183,2016年5月23日,9:00 PM,11 °C,-5 °C,19%,1020 hPa,20 km,NE,25.2 km/h /,-,-,,Mostly Cloudy
184,2016年5月24日,12:00 AM,7 °C,-5 °C,31%,1024 hPa,20 km,Calm,Calm,-,-,,Partly Cloudy
185,2016年5月24日,3:00 AM,3 °C,-4 °C,50%,1027 hPa,20 km,WNW,3.6 km/h /,-,-,,Scattered Clouds
186,2016年5月24日,6:00 AM,6 °C,-1 °C,51%,1025 hPa,20 km,South,14.4 km/h /,-,-,,Mostly Cloudy
187,2016年5月24日,9:00 AM,6 °C,-3 °C,40%,1025 hPa,20 km,WNW,10.8 km/h /,-,-,,Mostly Cloudy
188,2016年5月24日,12:00 PM,12 °C,-6 °C,16%,1020 hPa,20 km,West,25.2 km/h /,-,-,,Scattered Clouds
189,2016年5月24日,3:00 PM,14 °C,-4 °C,17%,1018 hPa,20 km,NW,10.8 km/h /,-,-,,Mostly Cloudy
190,2016年5月24日,6:00 PM,15 °C,-5 °C,15%,1015 hPa,10 km,East,21.6 km/h /,-,-,,Mostly Cloudy
191,2016年5月24日,9:00 PM,13 °C,0 °C,30%,1017 hPa,20 km,ENE,14.4 km/h /,-,-,,Mostly Cloudy
192,2016年5月25日,12:00 AM,8 °C,2 °C,60%,1022 hPa,20 km,SSE,14.4 km/h /,-,-,,Scattered Clouds
193,2016年5月25日,3:00 AM,5 °C,1 °C,73%,1024 hPa,20 km,South,7.2 km/h /,-,-,,Scattered Clouds
194,2016年5月25日,6:00 AM,1 °C,-2 °C,75%,1027 hPa,20 km,Calm,Calm,-,-,,Scattered Clouds
195,2016年5月25日,9:00 AM,4 °C,0 °C,65%,1025 hPa,20 km,Calm,Calm,-,-,,Scattered Clouds
196,2016年5月25日,12:00 PM,11 °C,2 °C,40%,1019 hPa,20 km,WNW,10.8 km/h /,-,-,,Scattered Clouds
197,2016年5月25日,3:00 PM,16 °C,-1 °C,19%,1014 hPa,20 km,SSW,10.8 km/h /,-,-,,Scattered Clouds
198,2016年5月25日,6:00 PM,18 °C,2 °C,22%,1010 hPa,20 km,SSW,10.8 km/h /,-,-,,Partly Cloudy
199,2016年5月25日,9:00 PM,19 °C,-3 °C,14%,1008 hPa,20 km,ENE,7.2 km/h /,-,-,,Scattered Clouds
200,2016年5月26日,12:00 AM,11 °C,-3 °C,26%,1012 hPa,20 km,East,7.2 km/h /,-,-,,Scattered Clouds
201,2016年5月26日,3:00 AM,8 °C,-4 °C,29%,1013 hPa,20 km,West,7.2 km/h /,-,-,,Scattered Clouds
202,2016年5月26日,6:00 AM,5 °C,-5 °C,38%,hPa,20 km,Calm,Calm,-,-,,Clear
203,2016年5月26日,9:00 AM,8 °C,-2 °C,36%,1010 hPa,20 km,Calm,Calm,-,-,,Clear
204,2016年5月26日,12:00 PM,16 °C,0 °C,22%,1003 hPa,20 km,West,7.2 km/h /,-,-,,Clear
205,2016年5月26日,3:00 PM,18 °C,-4 °C,12%,1002 hPa,20 km,West,32.4 km/h /,-,-,,Scattered Clouds
206,2016年5月26日,6:00 PM,21 °C,-3 °C,10%,998 hPa,20 km,West,21.6 km/h /,-,-,,Dust Whirls
