date,time,temp,dewPointTemp,humid,ap,visibility,windDirection,windSpeed,gustSpeed,Precip,event,situation
2010/5/3,11:00 AM,5 °C,-3 °C,43%,1014 hPa,20 km,West,7.2 km/h /,-,-,,Partly Cloudy
2010/5/3,2:00 PM,7 °C,-0 °C,47%,1012 hPa,20 km,West,7.2 km/h /,-,-,,Mostly Cloudy
2010/5/3,5:00 PM,10 °C,-3 °C,28%,1007 hPa,20 km,Calm,Calm,-,-,,Mostly Cloudy
2010/5/3,8:00 PM,8 °C,-7 °C,20%,1008 hPa,20 km,West,7.2 km/h /,-,-,,Mostly Cloudy
2010/5/3,11:00 PM,6 °C,-4 °C,36%,1012 hPa,20 km,Calm,Calm,-,-,,Mostly Cloudy
2010/5/4,2:00 AM,3 °C,-1 °C,63%,1014 hPa,20 km,Calm,Calm,-,-,,Scattered Clouds
2010/5/4,5:00 AM,2 °C,-6 °C,40%,1015 hPa,20 km,West,14.4 km/h /,-,-,,Partly Cloudy
2010/5/4,8:00 AM,3 °C,-6 °C,41%,1015 hPa,20 km,NW,7.2 km/h /,-,-,,Mostly Cloudy
2010/5/4,11:00 AM,8 °C,-7 °C,21%,1012 hPa,20 km,West,14.4 km/h /,-,-,,Clear
2010/5/4,2:00 PM,11 °C,-7 °C,17%,1008 hPa,20 km,West,7.2 km/h /,-,-,,Partly Cloudy
2010/5/4,5:00 PM,12 °C,-9 °C,12%,1007 hPa,20 km,West,14.4 km/h /,-,-,,Partly Cloudy
2010/5/4,8:00 PM,12 °C,-8 °C,13%,1006 hPa,20 km,WSW,7.2 km/h /,-,-,,Mostly Cloudy
2010/5/4,11:00 PM,9 °C,-10 °C,14%,1009 hPa,20 km,West,7.2 km/h /,-,-,,Scattered Clouds
2010/5/5,2:00 AM,7 °C,-9 °C,17%,1010 hPa,20 km,West,14.4 km/h /,-,-,,Scattered Clouds
2010/5/5,5:00 AM,6 °C,-6 °C,28%,1011 hPa,20 km,West,14.4 km/h /,-,-,,Scattered Clouds
2010/5/5,8:00 AM,6 °C,-6 °C,30%,1010 hPa,20 km,NW,7.2 km/h /,-,-,,Mostly Cloudy
2010/5/5,11:00 AM,9 °C,-4 °C,26%,1008 hPa,20 km,WNW,21.6 km/h /,-,-,,Mostly Cloudy
2010/5/5,2:00 PM,11 °C,-6 °C,18%,1005 hPa,20 km,West,21.6 km/h /,-,-,,Mostly Cloudy
2010/5/5,5:00 PM,12 °C,-6 °C,16%,1003 hPa,20 km,WSW,14.4 km/h /,-,-,,
2010/5/5,8:00 PM,8 °C,-7 °C,22%,1007 hPa,20 km,West,43.2 km/h /,-,-,,Mostly Cloudy
2010/5/5,11:00 PM,6 °C,-13 °C,14%,1011 hPa,20 km,West,21.6 km/h /,-,-,,Mostly Cloudy
2010/5/6,2:00 AM,2 °C,-11 °C,24%,1013 hPa,20 km,West,21.6 km/h /,-,-,,Scattered Clouds
2010/5/6,5:00 AM,1 °C,-11 °C,26%,1014 hPa,20 km,West,14.4 km/h /,-,-,,
2010/5/6,8:00 AM,3 °C,-12 °C,20%,1014 hPa,20 km,West,21.6 km/h /,-,-,,Scattered Clouds
2010/5/6,11:00 AM,6 °C,-9 °C,20%,1012 hPa,20 km,West,28.8 km/h /,-,-,,Scattered Clouds
2010/5/6,2:00 PM,9 °C,-8 °C,17%,1008 hPa,20 km,NW,21.6 km/h /,-,-,,Scattered Clouds
2010/5/6,5:00 PM,11 °C,-7 °C,17%,1004 hPa,20 km,WNW,28.8 km/h /,-,-,,Mostly Cloudy
2010/5/6,8:00 PM,10 °C,-7 °C,17%,1006 hPa,10 km,NW,14.4 km/h /,-,-,,Mostly Cloudy
2010/5/6,11:00 PM,7 °C,-9 °C,18%,1009 hPa,20 km,NW,7.2 km/h /,-,-,,Mostly Cloudy
2010/5/7,2:00 AM,0 °C,-3 °C,71%,1016 hPa,2 km,East,21.6 km/h /,-,-,Snow,Light Snow
2010/5/7,5:00 AM,-2 °C,-4 °C,76%,1018 hPa,2 km,East,7.2 km/h /,-,-,Snow,Snow
2010/5/7,8:00 AM,0 °C,-7 °C,45%,1017 hPa,20 km,Calm,Calm,-,-,,Partly Cloudy
2010/5/7,11:00 AM,2 °C,-11 °C,25%,1017 hPa,20 km,NE,7.2 km/h /,-,-,,Mostly Cloudy
2010/5/7,2:00 PM,2 °C,-8 °C,34%,1020 hPa,20 km,WSW,7.2 km/h /,-,-,,Mostly Cloudy
2010/5/7,5:00 PM,4 °C,-13 °C,15%,1019 hPa,20 km,NE,14.4 km/h /,-,-,,Mostly Cloudy
2010/5/7,8:00 PM,3 °C,-10 °C,24%,1020 hPa,20 km,East,28.8 km/h /,-,-,,Partly Cloudy
2010/5/7,11:00 PM,1 °C,-11 °C,29%,1023 hPa,20 km,East,7.2 km/h /,-,-,,Scattered Clouds
2010/5/8,2:00 AM,-2 °C,-8 °C,51%,1026 hPa,20 km,Calm,Calm,-,-,,
2010/5/8,5:00 AM,-4 °C,-7 °C,68%,1028 hPa,20 km,Calm,Calm,-,-,,
2010/5/8,8:00 AM,-2 °C,-6 °C,63%,1027 hPa,20 km,Calm,Calm,-,-,,
2010/5/8,11:00 AM,3 °C,-9 °C,30%,1024 hPa,20 km,Calm,Calm,-,-,,
2010/5/8,2:00 PM,7 °C,-12 °C,13%,1020 hPa,20 km,Calm,Calm,-,-,,
2010/5/8,5:00 PM,10 °C,-12 °C,10%,1016 hPa,20 km,Calm,Calm,-,-,,
2010/5/8,8:00 PM,10 °C,-10 °C,12%,1014 hPa,20 km,Calm,Calm,-,-,,
2010/5/8,11:00 PM,4 °C,-7 °C,30%,1019 hPa,20 km,Calm,Calm,-,-,,
2010/5/9,2:00 AM,2 °C,-8 °C,37%,1020 hPa,20 km,Calm,Calm,-,-,,
2010/5/9,5:00 AM,-0 °C,-6 °C,57%,1021 hPa,20 km,Calm,Calm,-,-,,
2010/5/9,8:00 AM,1 °C,-4 °C,59%,1020 hPa,20 km,Calm,Calm,-,-,,
2010/5/9,11:00 AM,8 °C,-5 °C,26%,1013 hPa,20 km,NE,7.2 km/h /,-,-,,Scattered Clouds
2010/5/9,2:00 PM,15 °C,-6 °C,13%,1005 hPa,20 km,West,14.4 km/h /,-,-,,Scattered Clouds
2010/5/9,5:00 PM,18 °C,-6 °C,10%,1002 hPa,20 km,WSW,7.2 km/h /,-,-,,Partly Cloudy
2010/5/9,8:00 PM,14 °C,-6 °C,13%,1004 hPa,20 km,NE,21.6 km/h /,-,-,,Mostly Cloudy
2010/5/9,11:00 PM,10 °C,-9 °C,16%,1007 hPa,20 km,Calm,Calm,-,-,,Mostly Cloudy
2010/5/10,2:00 AM,6 °C,-4 °C,36%,1010 hPa,20 km,Calm,Calm,-,-,,Mostly Cloudy
2010/5/10,5:00 AM,2 °C,-3 °C,62%,1010 hPa,20 km,Calm,Calm,-,-,,Partly Cloudy
2010/5/10,8:00 AM,4 °C,-2 °C,54%,1010 hPa,20 km,Calm,Calm,-,-,,Mostly Cloudy
2010/5/10,11:00 AM,7 °C,2 °C,64%,1008 hPa,20 km,North,7.2 km/h /,-,-,,Partly Cloudy
2010/5/10,2:00 PM,8 °C,2 °C,56%,1008 hPa,20 km,SW,14.4 km/h /,-,-,,Partly Cloudy
2010/5/10,5:00 PM,13 °C,2 °C,36%,1002 hPa,20 km,West,7.2 km/h /,-,-,,Mostly Cloudy
2010/5/10,8:00 PM,8 °C,0 °C,48%,1006 hPa,20 km,NE,14.4 km/h /,-,-,,Scattered Clouds
2010/5/10,11:00 PM,4 °C,-3 °C,52%,1010 hPa,20 km,East,14.4 km/h /,-,-,,Scattered Clouds
2010/5/11,2:00 AM,2 °C,-4 °C,52%,1011 hPa,20 km,Calm,Calm,-,-,,Scattered Clouds
2010/5/11,5:00 AM,-0 °C,-4 °C,65%,1011 hPa,20 km,Calm,Calm,-,-,,Mostly Cloudy
2010/5/11,8:00 AM,2 °C,-2 °C,65%,1010 hPa,20 km,South,7.2 km/h /,-,-,,Mostly Cloudy
2010/5/11,11:00 AM,8 °C,-4 °C,29%,1007 hPa,20 km,Calm,Calm,-,-,,Mostly Cloudy
2010/5/11,2:00 PM,10 °C,-5 °C,23%,1003 hPa,20 km,East,7.2 km/h /,-,-,,Mostly Cloudy
2010/5/11,5:00 PM,9 °C,-2 °C,30%,1002 hPa,20 km,North,14.4 km/h /,-,-,,Mostly Cloudy
2010/5/11,8:00 PM,8 °C,-2 °C,37%,1002 hPa,20 km,East,14.4 km/h /,-,-,,Scattered Clouds
2010/5/11,11:00 PM,3 °C,-4 °C,50%,1008 hPa,20 km,Calm,Calm,-,-,,Scattered Clouds
2010/5/12,2:00 AM,2 °C,-2 °C,68%,1009 hPa,20 km,Calm,Calm,-,-,,Scattered Clouds
2010/5/12,5:00 AM,4 °C,-7 °C,35%,1005 hPa,20 km,West,7.2 km/h /,-,-,,Mostly Cloudy
2010/5/12,8:00 AM,0 °C,-8 °C,39%,1009 hPa,20 km,West,28.8 km/h /,-,-,,Partly Cloudy
2010/5/12,11:00 AM,-1 °C,-8 °C,42%,1013 hPa,20 km,West,14.4 km/h /,-,-,,Partly Cloudy
2010/5/12,2:00 PM,3 °C,-12 °C,20%,1012 hPa,20 km,West,21.6 km/h /,-,-,,Partly Cloudy
2010/5/12,5:00 PM,4 °C,-11 °C,20%,1014 hPa,20 km,West,14.4 km/h /,-,-,,Mostly Cloudy
2010/5/12,8:00 PM,5 °C,-13 °C,15%,1014 hPa,20 km,West,7.2 km/h /,-,-,,Scattered Clouds
2010/5/12,11:00 PM,3 °C,-12 °C,20%,1017 hPa,20 km,Calm,Calm,-,-,,Partly Cloudy
2010/5/13,2:00 AM,2 °C,-8 °C,33%,1015 hPa,20 km,Calm,Calm,-,-,,Mostly Cloudy
2010/5/13,5:00 AM,0 °C,-8 °C,42%,1014 hPa,20 km,Calm,Calm,-,-,,Mostly Cloudy
2010/5/13,8:00 AM,-0 °C,-8 °C,46%,1014 hPa,20 km,Calm,Calm,-,-,,Scattered Clouds
2010/5/13,11:00 AM,4 °C,-8 °C,29%,1011 hPa,20 km,Calm,Calm,-,-,,Scattered Clouds
2010/5/13,2:00 PM,8 °C,-7 °C,22%,1007 hPa,20 km,West,7.2 km/h /,-,-,,Mostly Cloudy
2010/5/13,5:00 PM,9 °C,-6 °C,20%,1006 hPa,20 km,West,7.2 km/h /,-,-,,Mostly Cloudy
2010/5/13,8:00 PM,10 °C,-5 °C,24%,1008 hPa,20 km,Calm,Calm,-,-,,Mostly Cloudy
2010/5/14,2:00 AM,2 °C,-7 °C,36%,1011 hPa,20 km,East,7.2 km/h /,-,-,,Mostly Cloudy
2010/5/14,8:00 AM,-1 °C,-6 °C,60%,1014 hPa,20 km,West,28.8 km/h /,-,-,,Mostly Cloudy
2010/5/14,11:00 AM,2 °C,-12 °C,22%,1012 hPa,20 km,SW,21.6 km/h /,-,-,,Scattered Clouds
2010/5/14,2:00 PM,4 °C,-9 °C,25%,1011 hPa,20 km,West,28.8 km/h /,-,-,,Mostly Cloudy
2010/5/14,5:00 PM,4 °C,-6 °C,35%,1012 hPa,20 km,West,7.2 km/h /,-,-,,Mostly Cloudy
2010/5/14,8:00 PM,3 °C,-5 °C,42%,1015 hPa,20 km,NNW,7.2 km/h /,-,-,,Mostly Cloudy
2010/5/14,11:00 PM,3 °C,-6 °C,39%,1020 hPa,20 km,West,14.4 km/h /,-,-,,Mostly Cloudy
2010/5/15,2:00 AM,1 °C,-4 °C,57%,1022 hPa,20 km,West,7.2 km/h /,-,-,,Mostly Cloudy
2010/5/15,5:00 AM,1 °C,-5 °C,52%,1022 hPa,20 km,West,7.2 km/h /,-,-,,Mostly Cloudy
2010/5/15,8:00 AM,1 °C,-4 °C,58%,1022 hPa,20 km,West,7.2 km/h /,-,-,,Mostly Cloudy
2010/5/15,11:00 AM,6 °C,-4 °C,33%,1020 hPa,20 km,West,7.2 km/h /,-,-,,Mostly Cloudy
2010/5/15,2:00 PM,6 °C,-4 °C,33%,1020 hPa,20 km,West,7.2 km/h /,-,-,,Mostly Cloudy
2010/5/15,5:00 PM,7 °C,-3 °C,37%,1017 hPa,20 km,NE,14.4 km/h /,-,-,,Partly Cloudy
2010/5/15,8:00 PM,6 °C,-3 °C,38%,1018 hPa,20 km,NE,7.2 km/h /,-,-,,Scattered Clouds
2010/5/15,11:00 PM,3 °C,-6 °C,40%,1021 hPa,20 km,Calm,Calm,-,-,,Partly Cloudy
2010/5/16,2:00 AM,3 °C,-5 °C,43%,1021 hPa,20 km,Calm,Calm,-,-,,Scattered Clouds
2010/5/16,5:00 AM,2 °C,-5 °C,46%,1021 hPa,20 km,Calm,Calm,-,-,,Mostly Cloudy
2010/5/16,8:00 AM,1 °C,-6 °C,51%,1021 hPa,20 km,Calm,Calm,-,-,,Mostly Cloudy
2010/5/16,11:00 AM,5 °C,-7 °C,29%,1016 hPa,20 km,West,7.2 km/h /,-,-,,Mostly Cloudy
2010/5/16,2:00 PM,7 °C,-5 °C,29%,1014 hPa,20 km,Calm,Calm,-,-,,Mostly Cloudy
2010/5/16,5:00 PM,9 °C,-6 °C,20%,1012 hPa,20 km,North,7.2 km/h /,-,-,,Overcast
2010/5/16,8:00 PM,9 °C,-5 °C,25%,1010 hPa,20 km,East,7.2 km/h /,-,-,,Mostly Cloudy
2010/5/16,11:00 PM,5 °C,-7 °C,30%,1015 hPa,50 km,Calm,Calm,-,-,,Scattered Clouds
2010/5/17,2:00 AM,1 °C,-10 °C,32%,1019 hPa,20 km,Calm,Calm,-,-,,
2010/5/17,5:00 AM,-1 °C,-8 °C,45%,1019 hPa,20 km,Calm,Calm,-,-,,
2010/5/17,8:00 AM,1 °C,-6 °C,50%,1019 hPa,20 km,Calm,Calm,-,-,,Clear
2010/5/17,11:00 AM,9 °C,-4 °C,27%,1011 hPa,20 km,West,21.6 km/h /,-,-,,Clear
2010/5/17,2:00 PM,12 °C,-4 °C,21%,1007 hPa,20 km,West,14.4 km/h /,-,-,,Scattered Clouds
2010/5/17,5:00 PM,16 °C,-3 °C,17%,1004 hPa,20 km,West,7.2 km/h /,-,-,,Scattered Clouds
2010/5/17,8:00 PM,16 °C,-2 °C,17%,1003 hPa,20 km,West,7.2 km/h /,-,-,,Scattered Clouds
2010/5/17,11:00 PM,12 °C,-5 °C,17%,1006 hPa,20 km,Calm,Calm,-,-,,Scattered Clouds
2010/5/18,2:00 AM,10 °C,-7 °C,19%,1007 hPa,20 km,West,14.4 km/h /,-,-,,Scattered Clouds
2010/5/18,5:00 AM,8 °C,-5 °C,28%,1007 hPa,20 km,Calm,Calm,-,-,,Scattered Clouds
2010/5/18,8:00 AM,9 °C,-5 °C,25%,1007 hPa,20 km,West,14.4 km/h /,-,-,,Partly Cloudy
2010/5/18,11:00 AM,12 °C,0 °C,31%,1003 hPa,20 km,West,14.4 km/h /,-,-,,Scattered Clouds
2010/5/18,2:00 PM,15 °C,-0 °C,24%,hPa,20 km,NW,21.6 km/h /,-,-,,Mostly Cloudy
2010/5/18,5:00 PM,16 °C,1 °C,26%,1001 hPa,20 km,WSW,14.4 km/h /,-,-,,Mostly Cloudy
2010/5/18,8:00 PM,12 °C,1 °C,34%,1002 hPa,20 km,West,14.4 km/h /,-,-,,Mostly Cloudy
2010/5/18,11:00 PM,9 °C,-1 °C,35%,1004 hPa,20 km,Calm,Calm,-,-,,Partly Cloudy
2010/5/19,2:00 AM,9 °C,-0 °C,40%,1004 hPa,20 km,West,7.2 km/h /,-,-,,Scattered Clouds
2010/5/19,5:00 AM,7 °C,2 °C,61%,1005 hPa,20 km,NW,7.2 km/h /,-,-,,Scattered Clouds
2010/5/19,8:00 AM,7 °C,2 °C,58%,1005 hPa,20 km,Calm,Calm,-,-,Rain,Light Rain
2010/5/19,11:00 AM,9 °C,-1 °C,38%,1004 hPa,20 km,Calm,Calm,-,-,,Scattered Clouds
2010/5/19,2:00 PM,15 °C,1 °C,28%,998 hPa,20 km,SSW,7.2 km/h /,-,-,,Mostly Cloudy
2010/5/19,5:00 PM,17 °C,-4 °C,13%,994 hPa,20 km,West,21.6 km/h /,-,-,,Mostly Cloudy
2010/5/19,8:00 PM,15 °C,-2 °C,21%,996 hPa,20 km,NW,28.8 km/h /,-,-,,Scattered Clouds
2010/5/19,11:00 PM,10 °C,-6 °C,21%,1001 hPa,20 km,West,14.4 km/h /,-,-,,Scattered Clouds
2010/5/20,2:00 AM,8 °C,-6 °C,24%,1002 hPa,20 km,West,28.8 km/h /,-,-,,
2010/5/20,5:00 AM,6 °C,-6 °C,29%,1005 hPa,20 km,West,21.6 km/h /,-,-,,Scattered Clouds
2010/5/20,8:00 AM,6 °C,-4 °C,34%,1007 hPa,20 km,West,7.2 km/h /,-,-,,Scattered Clouds
2010/5/20,11:00 AM,6 °C,-5 °C,29%,1010 hPa,20 km,East,14.4 km/h /,-,-,,Mostly Cloudy
2010/5/20,2:00 PM,8 °C,-6 °C,24%,1008 hPa,20 km,East,7.2 km/h /,-,-,,Mostly Cloudy
2010/5/20,5:00 PM,10 °C,-5 °C,22%,1006 hPa,20 km,East,14.4 km/h /,-,-,,Mostly Cloudy
2010/5/20,8:00 PM,8 °C,-3 °C,31%,1003 hPa,20 km,East,7.2 km/h /,-,-,,Mostly Cloudy
2010/5/20,11:00 PM,7 °C,-3 °C,38%,1006 hPa,20 km,East,7.2 km/h /,-,-,,Mostly Cloudy
2010/5/21,2:00 AM,5 °C,-2 °C,53%,1007 hPa,20 km,Calm,Calm,-,-,,Mostly Cloudy
2010/5/21,5:00 AM,5 °C,-2 °C,48%,1004 hPa,20 km,Calm,Calm,-,-,,Scattered Clouds
2010/5/21,8:00 AM,11 °C,-0 °C,32%,998 hPa,20 km,Calm,Calm,-,-,,Scattered Clouds
2010/5/21,11:00 AM,15 °C,2 °C,30%,995 hPa,20 km,WNW,7.2 km/h /,-,-,,Partly Cloudy
2010/5/21,2:00 PM,20 °C,2 °C,20%,990 hPa,10 km,WSW,21.6 km/h /,-,-,,Sandstorm
2010/5/21,5:00 PM,17 °C,2 °C,23%,990 hPa,10 km,WNW,7.2 km/h /,-,-,,Mostly Cloudy
2010/5/21,8:00 PM,18 °C,1 °C,21%,987 hPa,20 km,WSW,21.6 km/h /,-,-,,Mostly Cloudy
2010/5/21,11:00 PM,16 °C,2 °C,28%,988 hPa,20 km,West,14.4 km/h /,-,-,,Mostly Cloudy
2010/5/22,2:00 AM,13 °C,0 °C,30%,990 hPa,20 km,West,7.2 km/h /,-,-,,Mostly Cloudy
2010/5/22,5:00 AM,11 °C,1 °C,36%,992 hPa,20 km,West,7.2 km/h /,-,-,,Mostly Cloudy
2010/5/22,8:00 AM,8 °C,-2 °C,35%,997 hPa,20 km,West,43.2 km/h /,-,-,,Mostly Cloudy
2010/5/22,11:00 AM,6 °C,-6 °C,28%,1007 hPa,20 km,West,28.8 km/h /,-,-,,Partly Cloudy
2010/5/22,2:00 PM,8 °C,-8 °C,19%,1006 hPa,20 km,West,36.0 km/h /,-,-,,Scattered Clouds
2010/5/22,5:00 PM,9 °C,-6 °C,23%,1006 hPa,20 km,East,36.0 km/h /,-,-,,Clear
2010/5/22,8:00 PM,6 °C,-6 °C,27%,1010 hPa,20 km,East,7.2 km/h /,-,-,,
2010/5/22,11:00 PM,2 °C,-8 °C,37%,1015 hPa,20 km,East,7.2 km/h /,-,-,,Clear
2010/5/23,2:00 AM,0 °C,-8 °C,38%,1017 hPa,20 km,Calm,Calm,-,-,,Clear
2010/5/23,5:00 AM,-2 °C,-9 °C,45%,1019 hPa,20 km,Calm,Calm,-,-,,Scattered Clouds
2010/5/23,8:00 AM,0 °C,-8 °C,42%,1017 hPa,20 km,Calm,Calm,-,-,,Scattered Clouds
2010/5/23,11:00 AM,5 °C,-5 °C,32%,1013 hPa,20 km,SW,7.2 km/h /,-,-,,Scattered Clouds
2010/5/23,2:00 PM,11 °C,-1 °C,30%,1008 hPa,20 km,Calm,Calm,-,-,,Scattered Clouds
2010/5/23,5:00 PM,14 °C,-1 °C,22%,1002 hPa,20 km,SE,7.2 km/h /,-,-,,Mostly Cloudy
2010/5/23,8:00 PM,15 °C,-0 °C,22%,hPa,20 km,West,7.2 km/h /,-,-,,Scattered Clouds
2010/5/23,11:00 PM,11 °C,-2 °C,27%,1005 hPa,20 km,West,36.0 km/h /,-,-,,Sandstorm
2010/5/24,5:00 AM,5 °C,-2 °C,48%,1013 hPa,20 km,West,21.6 km/h /,-,-,,Mostly Cloudy
2010/5/24,8:00 AM,6 °C,-5 °C,32%,1014 hPa,20 km,West,14.4 km/h /,-,-,,Scattered Clouds
2010/5/24,11:00 AM,9 °C,-3 °C,31%,1014 hPa,20 km,West,7.2 km/h /,-,-,,
2010/5/24,2:00 PM,12 °C,-4 °C,21%,1012 hPa,20 km,SW,14.4 km/h /,-,-,,
2010/5/24,5:00 PM,15 °C,-10 °C,8%,1010 hPa,20 km,West,7.2 km/h /,-,-,,Scattered Clouds
2010/5/24,8:00 PM,16 °C,-2 °C,18%,1010 hPa,20 km,SW,7.2 km/h /,-,-,,Scattered Clouds
2010/5/24,11:00 PM,11 °C,-2 °C,29%,1015 hPa,20 km,Calm,Calm,-,-,,Scattered Clouds
2010/5/25,2:00 AM,7 °C,-4 °C,32%,1018 hPa,20 km,Calm,Calm,-,-,,Scattered Clouds
2010/5/25,5:00 AM,4 °C,-6 °C,39%,1020 hPa,20 km,Calm,Calm,-,-,,Scattered Clouds
2010/5/25,8:00 AM,7 °C,-2 °C,40%,1018 hPa,20 km,Calm,Calm,-,-,,Clear
2010/5/25,11:00 AM,13 °C,-3 °C,20%,1014 hPa,20 km,East,7.2 km/h /,-,-,,Scattered Clouds
2010/5/25,2:00 PM,16 °C,-2 °C,18%,1011 hPa,20 km,East,14.4 km/h /,-,-,,Scattered Clouds
2010/5/25,5:00 PM,17 °C,-1 °C,17%,1009 hPa,20 km,East,7.2 km/h /,-,-,,Mostly Cloudy
2010/5/25,8:00 PM,17 °C,-4 °C,13%,1008 hPa,20 km,SE,7.2 km/h /,-,-,,Mostly Cloudy
2010/5/25,11:00 PM,11 °C,-2 °C,27%,1013 hPa,20 km,Calm,Calm,-,-,,Partly Cloudy
2010/5/26,2:00 AM,8 °C,-4 °C,30%,1017 hPa,20 km,Calm,Calm,-,-,,Mostly Cloudy
2010/5/26,5:00 AM,6 °C,-4 °C,34%,1019 hPa,20 km,Calm,Calm,-,-,,Partly Cloudy
2010/5/26,8:00 AM,6 °C,-4 °C,34%,1018 hPa,20 km,Calm,Calm,-,-,,Mostly Cloudy
2010/5/26,11:00 AM,15 °C,1 °C,27%,1010 hPa,20 km,Calm,Calm,-,-,,Mostly Cloudy
2010/5/26,2:00 PM,16 °C,0 °C,21%,1008 hPa,20 km,SE,14.4 km/h /,-,-,,Mostly Cloudy
2010/5/26,5:00 PM,18 °C,0 °C,19%,1004 hPa,20 km,ESE,21.6 km/h /,-,-,,Mostly Cloudy
2010/5/26,8:00 PM,16 °C,-2 °C,18%,1006 hPa,20 km,NE,7.2 km/h /,-,-,,Partly Cloudy
2010/5/26,11:00 PM,12 °C,-1 °C,27%,1010 hPa,20 km,Calm,Calm,-,-,,Scattered Clouds
2010/5/27,2:00 AM,10 °C,-2 °C,30%,1013 hPa,20 km,Calm,Calm,-,-,,Mostly Cloudy
2010/5/27,5:00 AM,6 °C,-3 °C,38%,1016 hPa,20 km,Calm,Calm,-,-,,Partly Cloudy
2010/5/27,8:00 AM,8 °C,-2 °C,38%,1015 hPa,20 km,Calm,Calm,-,-,,Clear
2010/5/27,11:00 AM,16 °C,3 °C,30%,1011 hPa,20 km,East,7.2 km/h /,-,-,,Scattered Clouds
2010/5/27,2:00 PM,18 °C,3 °C,25%,1010 hPa,20 km,Calm,Calm,-,-,,Partly Cloudy
2010/5/27,5:00 PM,19 °C,2 °C,22%,1007 hPa,20 km,Calm,Calm,-,-,,Partly Cloudy
2010/5/27,8:00 PM,18 °C,1 °C,21%,1008 hPa,20 km,South,14.4 km/h /,-,-,,Mostly Cloudy
2010/5/27,11:00 PM,16 °C,2 °C,25%,1009 hPa,20 km,East,14.4 km/h /,-,-,,Mostly Cloudy
2010/5/28,2:00 AM,14 °C,-0 °C,27%,1013 hPa,20 km,North,7.2 km/h /,-,-,,Mostly Cloudy
2010/5/28,5:00 AM,10 °C,1 °C,40%,1014 hPa,20 km,East,7.2 km/h /,-,-,,Mostly Cloudy
2010/5/28,11:00 AM,16 °C,4 °C,30%,1010 hPa,20 km,Calm,Calm,-,-,,Scattered Clouds
2010/5/28,2:00 PM,20 °C,4 °C,25%,1008 hPa,20 km,WSW,14.4 km/h /,-,-,,Mostly Cloudy
2010/5/28,5:00 PM,20 °C,2 °C,19%,1005 hPa,20 km,West,14.4 km/h /,-,-,,Mostly Cloudy
2010/5/28,8:00 PM,19 °C,3 °C,22%,1007 hPa,20 km,West,14.4 km/h /,-,-,,Mostly Cloudy
2010/5/28,11:00 PM,14 °C,2 °C,29%,1011 hPa,20 km,Calm,Calm,-,-,,Mostly Cloudy
2010/5/29,2:00 AM,11 °C,1 °C,39%,1015 hPa,20 km,Calm,Calm,-,-,,Scattered Clouds
2010/5/29,5:00 AM,12 °C,2 °C,38%,1014 hPa,20 km,Calm,Calm,-,-,,
2010/5/29,8:00 AM,14 °C,3 °C,36%,1013 hPa,20 km,West,7.2 km/h /,-,-,,Clear
